event,key,title,description
Botanical Gardens and Erev Shabbat,2023-06-30-06-28-36-IMG_0551,To the Botanical Gardens,"After everybody got ready, we ventured out to the Botanical Gardens in Jerusalem. We walked there and had some trouble finding the entrance with a stroller, due to some nearby construction, but once we found it, the kids stopped to rest."
Botanical Gardens and Erev Shabbat,2023-06-30-07-21-34-IMG_0400,Quick Stop for Lunch,"Before actually going into the garden, we stopped for lunch at a nearby cafe, noting that things were closing early for Shabbat and that the kids were getting hungry."
Botanical Gardens and Erev Shabbat,2023-06-30-07-47-30-IMG_1271,"Meanwhile, Sabba and Safta were Arriving Back in Jerusalem",They stopped at Terem to look at Safta’s shoulder. It turned out it was fractured after an x-ray. They gave Safta a sling and some instructions to come back in a week.
Botanical Gardens and Erev Shabbat,2023-06-30-07-54-36-IMG_0422,The Lily Pads,"We were now ready to enter the garden, but first stopping to look at the lily pads and a frog."
Botanical Gardens and Erev Shabbat,2023-06-30-07-59-24-IMG_0429,The Garden,"Ok, to the garden. Moshe apparently took random pictures of everyone’s feet, and a cat."
Botanical Gardens and Erev Shabbat,2023-06-30-08-38-33-IMG_0481,Pine Cone Bowling,The kids did bowling with a pine cone.
Botanical Gardens and Erev Shabbat,2023-06-30-09-28-36-IMG_0575,Taking the Bus Back,"We took the bus back to the hotel, since everyone was tired and Abba did not want to push the stroller up hill."
Botanical Gardens and Erev Shabbat,2023-06-30-09-49-56-IMG_0580,Back at the Hotel,We took a break at the fountain outside the hotel before going in.
Botanical Gardens and Erev Shabbat,2023-06-30-09-57-15-IMG_0588,Sabba and Safta are Back and Shabbat is Coming,"We arrived back to get ready for Shabbat and were greeted by Sabba and Safta who were getting ready as well.

We do not have pictures of course, but Shabbat in the hotel with all of us together was such a wonderful experience. The food was really good, but it just felt so special to be in Jerusalem together around the table making kiddush and in room with so many families and groups doing the same.

On Friday night after the meal, some of us walked to the Old City to try to visit Binyonim Sheis and then to the kotel. We could not find where Binyonim was staying, but proceeded on to the kotel, which was the first time for Nuriya and Shira, and the first time this visit for Rifka, Eshka, and Moshe.

As we learned, the Old City is not easy to get around with a stroller, but some yeshiva bachorim helped with at least one set of stairs.

We had a wonderful Friday night at the kotel.

Afterwards, Chaim went to visit Ben at Sora’s apartment and they played games up 4:30am.

The next morning, some of us slept in a little, still getting over jet lag and catching up on sleep, but we all eventually made it to daven at our various paces and then to do kiddush at around 2pm. Again, the food was wonderful and so great being all together.

Later in the afternoon, Chaim, Rifka, and Eshka headed off to visit the Rothman’s in Nachlaot. They went up the seven flights of stairs to their apartment and hung out with them on the room of their building eating watermelon and having meaningful conversation.

Afterwards, some of us went to visit Ben to play games, and by the end of Shabbat, Chaim, Rifka, Yair, Moshe, and Eshka were all at Sora’s apartment hanging out, and we made havdallah there, led by Sora’s father, while Sabba, Safta, Nuriya, and Shira hung out at the hotel."
Motzei Shabbat Protests,2023-07-01-15-28-30-IMG_1110,Protests,"Happening in the backdrop of our trip to Israel were protests about the Judicial Reform. Being that our hotel was in Rechavia, just a couple blocks away from the Prime Minister Benjamin Netanyahu’s residence, and being at a major intersection, it was apparently also a hot spot for political activism. As such, there were protests on the street right outside the hotel, near the fountain. And so was the start of our second week in Israel."
First Station and Yair's Birthday,2023-07-02-06-11-41-IMG_0592,TODO,TODO
Game Shopping and a Movie,2023-07-02-13-25-31-IMG_0737,TODO,TODO
"Galita Chololate Factory, Anu Museum, Tel Aviv Beach with Cousins, and Hanging out with the Weinstocks",2023-07-02-14-58-59-IMG_0743,TODO,TODO
"Camel Rides, Gan Ganroo, Gan HaShalosha, and Kineret Water Park",2023-07-04-01-55-49-IMG_0935,TODO,TODO
Date Night,2023-07-04-17-40-20-IMG_5644,TODO,TODO
Dead Sea,2023-07-05-01-52-44-IMG_1084,TODO,TODO
Dinner in Ben Yehuda and the Game Store is Closed,2023-07-05-03-39-27-IMG_5650,TODO,TODO
Second Protest,2023-07-05-16-06-54-IMG_1167,TODO,TODO
17 Tammuz First Station and Around Old City and Kotel,2023-07-06-06-54-49-IMG_5670,TODO,TODO
Sylvesky Visit and Erev Shabbat,2023-07-07-02-39-50-IMG_1380,TODO,TODO
Motzei Shabbat Games in the Rova and Beyond,2023-07-08-14-36-25-IMG_1233,TODO,TODO
"Game Store, Shuk, and Visiting Noimans in Gilo",2023-07-09-02-40-53-IMG_1387,TODO,TODO
Second Date Night and Bump into Sabba and Safta Who Are Also Out,2023-07-09-12-52-30-IMG_1392,TODO,TODO
Morning in the Hotel,2023-07-10-02-18-29-IMG_1364,TODO,TODO
Date Day,2023-07-10-05-12-36-IMG_1378,TODO,TODO
"Beerot Yitzchak, Visit Porats, and Binyomon Sheis Stops By",2023-07-10-09-33-44-IMG_1399,TODO,TODO
Night Visit to the Kotel with Ben Skoler,2023-07-10-17-33-09-IMG_1477,TODO,TODO
"Last Morning of the Trip, Yair Works on Game in Lobby",2023-07-11-02-10-33-IMG_1496,TODO,TODO
"Getting Ready to Leave, But One More Visit to the Kotel, and the Zoo!",2023-07-11-04-39-01-IMG_5731,TODO,TODO
Flying Back to America,2023-07-11-11-17-46-IMG_1447,TODO,TODO
